Title,URL,Author,Date of Publication,Was data used?,Data Source,LA Times Category,Data Type
2020 was not supposed to by anything like 2019- and COVID made sure of it,https://www.latimes.com/california/story/2020-12-13/2020-year-review-covid-made-sure-year-wasnt-anything-like-2019,Thomas Curwen,2020-12-13,Y,"CDC, speech by Australian Prime Minister, California State University Northridge, APM Research Lab, NASCAR, LA Times",California,COVID-19
The coronavirus may have reached Los Angeles even before China announced its outbreak,https://www.latimes.com/science/story/2020-09-10/the-coronavirus-may-have-reached-los-angeles-even-before-china-announced-its-outbreak,Karen Kaplan,2020-09-10,Y,"UCLA, CDC, World Health Organization, University of Washington, Wuhan Municiple Health Commission, USC Medical Center, LA Times",Science,COVID-19
The surprising story of the salesman who became L.A.’s first known COVID-19 patient,https://www.latimes.com/world-nation/story/2020-08-21/surprising-tale-first-la-covid-19-case,"PAIGE ST. JOHN, XINLU LIANG",2020-08-21,Y,"L.A. County Public Health, Deeper Wuhan, LAX, CDC, Cedars Sinai, Gilead Sciences, New England Journal of Medicine, Arizona’s Translational Genomics Research Institute, Chinese Consulate, LA Times",California,COVID-19
L.A. was uniquely vulnerable to this COVID catastrophe. Here is what went wrong,https://www.latimes.com/california/story/2020-12-28/why-covid-19-cases-have-spread-wildly-in-l-a,"SOUMYA KARLAMANGLA, Rong-Gong Lin II",2020-12-28,Y,"L.A. County public hosptial,  LA Mayor Eric Garcetti, Dr.Kirsten Bibbins-Domingo, LA County Public Health, Dr.Grant Colfax. L.A. County, CDC, U.S. Census Bureau, UC San Francisco, Google’s COVID-19 Community Mobility Report, LA Times",California,COVID-19
California’s first two cases of coronavirus are confirmed in L.A. and Orange counties,https://www.latimes.com/california/story/2020-01-25/los-angeles-area-prepared-for-coronavirus,"BY ALEX WIGGLESWORTH, RONG-GONG LIN II, SONALI KOHLI",2020-01-26,Y,"L.A. County, UCLA, California Department of Public Health, CDC, US State Department, LA Times",California,COVID-19
Should you panic about the coronavirus from China? Here’s what the experts say,https://www.latimes.com/science/story/2020-01-24/china-coronavirus-panic,Emily Baumgaertner,2020-01-24,Y,"Brandon Brown, Dr.Michael Mina, John Hopkins, Georgetown University, WHO, CDC, LA Times",Science,COVID-19
Nearly 5 out of 6 coronavirus cases were undetected in pandemic’s early months,https://www.latimes.com/science/story/2021-06-25/nearly-5-out-of-6-coronavirus-cases-were-undetected-early-in-pandemic,Amina Khan,2020-06-25,Y,"National Institutes of Health, Science Translational Medicine, Yale University, LA Times",Science,COVID-19
"In dramatic shift, California COVID-19 hospitalizations are lowest since pandemic’s start",https://www.latimes.com/california/story/2021-05-05/california-covid-19-hospitalizations-hit-promising-new-low,"RONG-GONG LIN II, LUKE MONEY",2021-05-05,Y,"L.A. County, San Francisco Public Health, CDC, LA Times ",California,COVID-19
"L.A. County hits new milestones in coronavirus cases, deaths amid troubling increase in infections",https://www.latimes.com/california/story/2020-10-26/la-county-nears-new-milestones-in-coronavirus-cases-deaths,Luke Money,2020-10-26,Y,"LA Times, LA County Public Health, Covid Tracking Project, John Hopkins, Riverside County",California,COVID-19
"L.A. County reports 1,030 new COVID-19 cases, while hospitalizations continue dropping",https://www.latimes.com/california/story/2020-08-30/new-l-a-county-coronavirus-numbers,"LAURA NEWBERRY, ALEX WIGGLESWORTH",2020-08-30,Y,"L.A. County, LA Times, Gov. Gavin Newsom",California,COVID-19
Omicron becoming dominant in some parts of California as COVID-19 cases soar,https://www.latimes.com/california/story/2021-12-23/coronavirus-cases-soaring-in-l-a-county,Luke Money,2021-12-23,Y,"LA Times, California Department of Public Health, Gov. Gavin Newsom, CDC, White House, ",California,COVID-19
L.A.’s remarkable achievement: Rapid economic reopening as COVID-19 fades fast,https://www.latimes.com/california/story/2021-04-28/la-reopening-boosts-economy-covid-19-cases-plummet,"LUKE MONEY, RONG-GONG LIN II",2021-04-28,Y,"LA Times, L.A. County, CDC",California,COVID-19
"Deadliest days of the pandemic: COVID-19 kills nearly 15,000 in California in January",https://www.latimes.com/california/story/2021-02-01/january-deadliest-covid-month-la-california,"HAYLEY SMITH, RONG-GONG LIN II, SEAN GREENE",2021-02-01,Y,"LA Times, L.A. County Public Health, John Hopkins",California,COVID-19
L.A. County’s alarming new coronavirus surge: How bad will it get?,https://www.latimes.com/california/story/2021-07-22/la-covid-surge-amid-delta-variant-spread-how-bad-is-it,"LUKE MONEY, RONG-GONG LIN II",2021-07-02,Y,"LA Times, Department of Public Health, UCLA, UC San Francisco, L.A. County Health Services",California,COVID-19
Coronavirus Today: What it’s like to die from COVID-19,https://www.latimes.com/science/newsletter/2021-08-31/coronavirus-today-what-its-like-to-die-from-covid-19-coronavirus-today,Karen Kaplan,2021-08-31,Y,"LA Times, Kelly Gallardo",Science,COVID-19
"After months of decline, coronavirus cases plateau in California. Can we avoid a new surge",https://www.latimes.com/california/story/2021-10-30/covid-19-cases-are-leveling-off-can-we-avoid-new-surge,"LUKE MONEY, RONG-GONG LIN II",2021-10-30,Y,"LA Times, CDC, Santa Clara County, Gov. Gavin Newsom, LA County, Orange County",California,COVID-19
Percentage of hospitalized COVID-19 patients dying in L.A. County doubles,https://www.latimes.com/california/story/2021-01-21/chance-of-dying-for-covid-19-hospitalized-patients-doubles-in-l-a-county,"RONG-GONG LIN II, LUKE MONEY",2021-01-21,Y,"LA Times, Department of Health Services, South Coast Air Quality Management District, L.A. County,",California,COVID-19
"Coronavirus transmission rates are falling across California, bringing guarded optimism",https://www.latimes.com/california/story/2022-01-20/coronavirus-transmission-rates-falling-across-california,"LUKE MONEY, RONG-GONG LIN II, MARISSA EVANS",2022-01-20,Y,"LA Times, San Francisco County, L.A. County, Department of Public Health, Kaiser Permanente Southern California, Children's Hospital L.A., Children's Hospital Orange County",California,COVID-19
Los Angeles County hits 2 million coronavirus cases,https://www.latimes.com/california/story/2022-01-11/los-angeles-county-hits-2-million-coronavirus-cases,"LUKE MONEY, GREGORY YEE , RONG-GONG LIN II",2022-01-11,Y,"LA Times, L.A. County, Los Angeles Unified School District, California Department of Public Health, ",California,COVID-19
Younger adults driving coronavirus surge in Southern California,https://www.latimes.com/california/story/2022-01-01/younger-adults-driving-covid-transmission-in-southern-california,"RONG-GONG LIN II, LUKE MONEY",2022-01-01,Y,"LA Times, L.A. County, L.A. County Public Health, Orange County, CDC, California Department of Public Health",California,COVID-19
L.A. County’s daily count of new coronavirus cases continues to decline,https://www.latimes.com/california/story/2022-02-19/los-angeles-countys-daily-coronaviruses-cases-continue-to-decline,ALEX WIGGLESWORTH,2022-02-19,Y,"LA Times, L.A. County, L.A. County Public Health",California,COVID-19
Op-Ed: The pandemic isn’t over. Omicron won’t be the last coronavirus variant to haunt us,https://www.latimes.com/opinion/story/2022-02-21/omicron-variants-covid-pandemic-vaccines, ERIC J. TOPOL,2022-02-21,Y,"LA Times, The Atlantic, The New York Times, CNN, Outbreak.info, ",Opinion,COVID-19
"Los Angeles County’s coronavirus case numbers continue to decline, but officials worry about another surge",https://www.latimes.com/california/story/2021-02-07/la-countys-latest-coronavirus-meetings,"MATT STILES
",2022-02-07,Y,"LA Times, LA County Public Health, LA County Department of Health Services, UC Berkeley, Orange County",California,COVID-19
A mask mandate was never going to save South L.A. from COVID-19. Here’s what might,https://www.latimes.com/california/story/2022-03-04/legislation-not-mask-mandate-might-save-south-los-angeles-covid, ERIKA D. SMITH,2022-03-04,Y,"LA Times, Dr. Elaine Batchlor, LA County Public Health, California Legislative Information, ",California,COVID-19
This treatment can protect vulnerable people from COVID. But many don’t know about it,https://www.latimes.com/california/story/2022-03-06/covid-antibody-treatment-obstacles, EMILY ALPERT REYES,2022-03-06,Y,"Leanne Cook, USC, Transplant Recipients and Immunocompromised Patient Advocacy Group, Healthdata.gov, US Department of Health and Public Services, FDA, Cedar Sinai, Dr. Brian Koffman, Transplantation, NYU Langone Health, CDC, University of California Irvine, LA County",California,COVID-19
Huge increase in arrests of homeless in L.A. — but mostly for minor offenses,https://www.google.com/amp/s/www.latimes.com/local/politics/la-me-homeless-arrests-20180204-story.html%3F_amp%3Dtrue,"GALE HOLLAND, CHRISTINE ZHANG",2018-02-04,Y,L.A. Times internal database of LAPD arrests,Politics,Arrest Data
LAPD officer arrested on 3 counts of murder in suspected DUI crash in Whittier,https://www.google.com/amp/s/www.latimes.com/local/lanow/la-me-ln-verduzco-arrest-20180420-story.html%3F_amp%3Dtrue,"JOSEPH SERNA, KATE MATHER",2018-04-20,Y,LAPD,LA Now,Arrest Data
"Los Angeles County sheriff’s deputy, two others arrested on drug charges after heist at pot warehouse",https://www.google.com/amp/s/www.latimes.com/local/lanow/la-me-deputy-pot-arrest-20181107-story.html%3F_amp%3Dtrue,"JOEL RUBIN, MAYA LAU",2018-11-07,Y,"Court hearing, LA County Sherrifs Department, statement from the U.S. attorney ",LA Now,Arrest Data
At least two arrested following O.C. burglary that triggered pursuit into South L.A.,https://www.google.com/amp/s/www.latimes.com/local/lanow/la-me-ln-burglary-pursuit-20181219-story.html%3F_amp%3Dtrue, HANNAH FRY,2018-12-19,Y,OnScene.TV,LA Now,Arrest Data
Suspect arrested in killing of police officer in Stanislaus County,https://www.google.com/amp/s/www.latimes.com/local/lanow/la-me-ln-police-death-suspect-arrest-20181228-story.html%3F_amp%3Dtrue,BRITTNY MEJIA,2018-12-28,Y,"Authorities, President's twitter",LA Now,Arrest Data
Crime is down in Los Angeles for the first time in five years,https://www.google.com/amp/s/www.latimes.com/local/lanow/la-me-lapd-crime-stats-20181229-story.html%3F_amp%3Dtrue,CINDY CHANG,2018-12-29,Y,"LAPD, San Francisco Police Department, Charis Kubrin, Leonard Delpit, Angela Guzman",LA Now,Arrest Data
ASAP Rocky is behind bars in Sweden after street fight caught on video,https://www.latimes.com/entertainment/music/la-et-ms-asap-rocky-arrested-assault-sweden-20190703-story.html,CHRISTIE D’ZURILLA,2019-07-03,Y,"TMZ, Instagram",Music,Arrest Data
Family of 12-year-old boy forcefully arrested and covered with spit mask file claim against Sacramento,https://www.google.com/amp/s/www.latimes.com/california/story/2019-10-18/family-of-12-year-old-boy-forcefully-arrested-and-covered-with-spit-mask-file-claim-against-sacramento%3F_amp%3Dtrue,ALEJANDRA REYES-VELARDE,2019-10-18,Y,"Sacramento Police Department, Mark T. Harris, Dale K. Galipo, LA Times, Facebook",California,Arrest Data
"Traffic stop in H.B. nets 2 arrests and over 36 pounds of cocaine, police say",https://www.latimes.com/socal/daily-pilot/news/story/2019-11-13/traffic-stop-nets-two-arrests-and-more-than-36-pounds-of-cocaine-police-say,JULIA SCLAFANI,2019-11-13,Y,Huntington Beach Police Department,Southern California,Arrest Data
Arrests by LAPD and Sheriff’s Department drop amid coronavirus outbreak,https://www.latimes.com/california/story/2020-03-18/lapd-arrests-crime-coronavirus-03182020,BEN POSTON,2020-03-18,Y,"Los Angeles County Sheriff’s Department, LAPD, Eugene O’Donnell",California,Arrest Data
"Arrests during George Floyd protests swell to near 3,000 in L.A. County; many are locals",https://www.google.com/amp/s/www.latimes.com/california/story/2020-06-02/george-floyd-protests-los-angeles-arrests-locals%3F_amp%3Dtrue,"JAMES QUEALLY, BEN WELSH",2020-06-02,Y,"Booking records, LAPD, Long Beach Police, Santa Monica Police, public statements from officials",California,Arrest Data 
4 arrested on suspicion of assaulting a police officer during downtown L.A. protest,https://www.latimes.com/california/story/2020-07-14/l-a-protest-suspicion-assaulting-police-arrests,ALEJANDRA REYES-VELARDE,2020-07-14,Y,LAPD,California,Arrest Data
Police in L.A. region announce dozens of arrests and ongoing pursuit of suspects from summer unrest,https://www.latimes.com/california/story/2020-08-26/los-angeles-arrests-summer-unrest,KEVIN RECTOR,2020-08-26,Y,"LAPD, the Los Angeles Fire Department, Los Angeles County Sheriff’s Department, Beverly Hills Police, Long Beach Police, Santa Monica Police, Torrance Police, multiple federal law enforcement agencies, the California Highway Patrol, local and federal prosecutors",California,Arrest Data
FBI and LAPD arrest 14 in alleged storefront drug ring run by South L.A. gang,https://www.latimes.com/california/story/2020-11-18/fbi-lapd-arrests-south-los-angeles-drug-sales,RICHARD WINTON,2020-11-18,Y,"LAPD, FBI",California,Arrest Data
Former aide to Gavin Newsom arrested on domestic violence charges,https://www.latimes.com/california/story/2020-12-03/nathan-ballard-former-aide-to-gavin-newsom-arrested,PHIL WILLON,2020-12-03,Y,"Napa County Sheriff's Office, Marin Magazine, Politico",California,Arrest Data
"Reporters, legal observers cry foul after being caught up in LAPD’s mass arrests at Echo Park protest",https://www.latimes.com/california/story/2021-03-26/echo-park-homeless-encampment-reporters-lapd-mass-arrest,KEVIN RECTOR,2021-03-26,Y,"Reporters, legal observers, LAPD, ACLU of Southern California, National Lawyers Guild",Opinion,Arrest Data
Suspected Southern California drug dealers charged in 11 overdose deaths,https://www.latimes.com/california/story/2021-05-13/fentanyl-overdose-death-arrests-drug-trafficking,MICHAEL FINNEGAN,2021-05-13,Y,"Tracy L. Wilkison, the acting U.S. attorney in Los Angeles, Newport Beach Police, Snapchat, CDC, DEA",California,Arrest Data
How law enforcement uses social media campaigns to make arrests,https://www.latimes.com/california/newsletter/2021-06-30/arrests-social-media-campaigns-essential-california,JUSTIN RAY,2021-06-30,Y,"Metro reporter Maria L. La Ganga, court documents, members of law enforcement",California,Arrest Data
Beverly Hills accused of creating police task force that disproportionately arrested Black people,https://www.latimes.com/california/story/2021-09-01/beverly-hills-arrest-black-people,MATTHEW ORMSETH,2021-09-01,Y,"lawyer Bradley Gage, lawyer Benjamin Crump, Beverly Hills Police",California,Arrest Data
Op-Ed: Arresting reporters in L.A. sends a dangerous message to repressive governments,https://www.latimes.com/opinion/story/2021-12-07/los-angeles-police-journalists-arrests-reforms,JOEL SIMON,2021-12-07,Y,"LAPD, Youtube, U.S. Press Freedom Tracker, CNN, CPJ, Los Angeles Press Club, California Legislative Information, Spectrum News 1,",Opinion,Arrest Data 
UCLA instructor’s behavior alarmed students before threats of mass campus violence,https://www.google.com/amp/s/www.latimes.com/california/story/2022-02-02/ucla-shutdown-mass-shooting-threat-warning-signs%3F_amp%3Dtrue,"ALEJANDRA REYES-VELARDE, NATHAN SOLIS, RICHARD WINTON, TERESA WATANABE",2022-02-02,Y,"Boulder Police, Youtube, Twitter, UCLA, University of California, Matthew C. Harris",California,Arrest Data 
Couple arrested in connection with robbery during ‘sugar daddy’ meet-up at Thousand Oaks hotel,https://www.latimes.com/california/story/2022-02-04/couple-arrested-in-sugar-daddy-robbery-at-thousand-oaks-hotel?_amp=tru,CHRISTIAN MARTINEZ,2022-02-04,Y,Ventura County Sheriff's Office ,California,Arrest Data 
3 arrested in shooting death of Tijuana journalist Lourdes Maldonado López,https://www.google.com/amp/s/www.latimes.com/california/story/2022-02-09/suspects-tijuana-journalist-lourdes-maldonado%3F_amp%3Dtrue,"WENDY FRY, ALEXANDRA MENDOZA
",2022-02-09,Y,"Mexican President Andrés Manuel López Obrador, Rosa Icela Rodriguez, Mexico’s secretary of public safety, Mexico’s subsecretary of public safety, Ricardo Mejía, Baja California Atty. Gen. Ricardo Iván Carpio Sánchez",California,Arrest Data 
Two arrested in ‘vehicle takeover’ of Beverly Hills intersection,https://www.google.com/amp/s/www.latimes.com/california/story/2022-02-19/two-arrested-at-beverly-hills-vehicle-takeover%3F_amp%3Dtrue,CONNOR SHEETS,2022-02-19,Y,Beverly Hills Police Department,California,Arrest Data 
